id,condition,emotion_used,need_used,gold_emotion,gold_need,stressor_category,vignette_text,need_description,message_generic,message_emotion_only,message_need_only,sim_generic,sim_emotion_only,sim_need_only
v001,oracle,anger,autonomy,anger,autonomy,loss_of_autonomy,"Administration keeps changing the syllabus requirements after I have already finalized my course, and nobody asks for my input.","A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's understandable to feel angry about this.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.0,0.06834511689865955
v002,oracle,anger,autonomy,anger,autonomy,workload_overload,"I was assigned three additional committees without being consulted, on top of an already full teaching load.","A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",That sounds like a genuinely frustrating situation to be in.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.013992239652032059,0.06834511689865955
v003,oracle,anger,autonomy,anger,autonomy,administrative_pressure,The new digital platform was forced on us with no training and no choice in the matter.,"A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's understandable to feel angry about this.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.0,0.06834511689865955
v004,oracle,anger,autonomy,anger,autonomy,loss_of_autonomy,My department head overruled my grading decision without even discussing it with me first.,"A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's understandable to feel angry about this.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.0,0.06834511689865955
v005,oracle,anger,autonomy,anger,autonomy,workload_overload,"We are expected to answer student emails at any hour, as if we have no right to set boundaries.","A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",That sounds like a genuinely frustrating situation to be in.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.013992239652032059,0.06834511689865955
v006,oracle,anger,autonomy,anger,autonomy,administrative_pressure,"The promotion criteria changed halfway through the review cycle, after I had already submitted my file.","A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's understandable to feel angry about this.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.0,0.06834511689865955
v007,oracle,anger,autonomy,anger,autonomy,workload_overload,I spent the weekend grading exams that should have been split among three other colleagues who did nothing.,"A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's understandable to feel angry about this.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.0,0.06834511689865955
v008,oracle,anger,autonomy,anger,autonomy,loss_of_autonomy,"Every time I propose a new teaching method, it gets buried in committee approvals for months.","A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's understandable to feel angry about this.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.0,0.06834511689865955
v009,oracle,disgust,autonomy,disgust,autonomy,administrative_pressure,"I found out that a colleague's paper was accepted purely because of personal connections with the editor, not its quality.","A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's reasonable to feel uneasy about something like that.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,0.02177995559554562,0.01275700401805933,0.06834511689865955
v010,oracle,disgust,autonomy,disgust,autonomy,administrative_pressure,Watching how casually the university outsources teaching to underpaid adjuncts while citing budget constraints makes me sick.,"A message that supports a sense of choice, control and ownership over one's own work and decisions, rather than feeling controlled or overridden by others.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",It's reasonable to feel uneasy about something like that.,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,0.02177995559554562,0.01275700401805933,0.07566953730489784
