rater,dimension,generic,emotion_only,need_only,full_context
rater_01,motivational_usefulness,1.16,2.52,3.0,4.36
rater_01,relevance,1.08,2.36,2.8,4.8
rater_01,sdt_alignment,1.08,2.24,2.68,4.32
rater_01,specificity,1.04,2.12,2.56,4.96
rater_02,motivational_usefulness,1.16,2.52,3.0,4.36
rater_02,relevance,1.08,2.36,2.8,4.8
rater_02,sdt_alignment,1.08,2.24,2.68,4.32
rater_02,specificity,1.04,2.12,2.56,4.96
rater_03,motivational_usefulness,2.76,2.8,2.76,2.68
rater_03,relevance,2.84,3.2,3.08,2.88
rater_03,sdt_alignment,2.72,3.0,3.12,3.04
rater_03,specificity,3.12,2.92,3.16,2.6
rater_04,motivational_usefulness,3.28,2.48,3.24,2.96
rater_04,relevance,2.92,3.16,3.08,3.12
rater_04,sdt_alignment,3.32,3.08,2.92,2.72
rater_04,specificity,2.8,3.0,3.12,2.8
rater_05,motivational_usefulness,3.16,3.36,3.24,3.48
rater_05,relevance,3.08,3.16,2.88,2.88
rater_05,sdt_alignment,3.2,2.76,3.36,2.92
rater_05,specificity,3.2,2.96,3.0,3.2
rater_06,motivational_usefulness,1.16,2.52,3.0,4.36
rater_06,relevance,1.08,2.36,2.8,4.8
rater_06,sdt_alignment,1.08,2.24,2.68,4.32
rater_06,specificity,1.04,2.12,2.56,4.96
rater_07,motivational_usefulness,3.28,3.16,3.0,3.16
rater_07,relevance,3.32,3.28,3.0,3.08
rater_07,sdt_alignment,3.04,2.68,2.72,2.92
rater_07,specificity,3.08,3.28,2.72,3.0
rater_08,motivational_usefulness,2.64,3.16,2.92,3.16
rater_08,relevance,2.72,2.68,2.92,3.16
rater_08,sdt_alignment,2.88,2.96,3.0,2.96
rater_08,specificity,2.72,2.96,3.16,3.08
rater_09,motivational_usefulness,2.8,2.64,3.0,3.48
rater_09,relevance,3.04,2.84,3.0,3.24
rater_09,sdt_alignment,2.84,3.0,3.16,3.08
rater_09,specificity,3.16,2.96,3.08,2.72
rater_10,motivational_usefulness,1.16,2.52,3.0,4.36
rater_10,relevance,1.08,2.36,2.8,4.8
rater_10,sdt_alignment,1.08,2.24,2.68,4.32
rater_10,specificity,1.04,2.12,2.56,4.96
rater_11,motivational_usefulness,3.0,3.4,3.04,2.84
rater_11,relevance,3.08,3.08,2.88,3.04
rater_11,sdt_alignment,2.6,2.76,2.88,3.36
rater_11,specificity,2.64,2.92,2.6,3.12
rater_12,motivational_usefulness,3.08,3.2,2.72,3.12
rater_12,relevance,2.8,3.16,3.0,2.68
rater_12,sdt_alignment,2.96,2.96,2.8,2.96
rater_12,specificity,3.16,2.76,3.2,2.8
rater_13,motivational_usefulness,3.16,3.0,3.0,3.28
rater_13,relevance,3.44,2.72,2.84,2.88
rater_13,sdt_alignment,3.44,3.08,2.96,3.0
rater_13,specificity,3.0,3.2,3.32,3.04
rater_14,motivational_usefulness,1.16,2.52,3.0,4.36
rater_14,relevance,1.08,2.36,2.8,4.8
rater_14,sdt_alignment,1.08,2.24,2.68,4.32
rater_14,specificity,1.04,2.12,2.56,4.96
rater_15,motivational_usefulness,2.92,3.28,3.16,3.16
rater_15,relevance,3.2,3.16,3.04,3.28
rater_15,sdt_alignment,2.88,2.76,2.8,3.28
rater_15,specificity,3.16,2.76,2.72,3.0
rater_16,motivational_usefulness,2.84,2.88,3.16,3.0
rater_16,relevance,3.2,3.24,2.96,3.08
rater_16,sdt_alignment,2.92,3.2,3.04,2.96
rater_16,specificity,3.0,2.72,3.32,2.68
rater_17,motivational_usefulness,3.0,2.72,2.68,2.92
rater_17,relevance,3.04,3.04,2.68,2.88
rater_17,sdt_alignment,3.04,3.28,3.24,3.2
rater_17,specificity,2.88,2.96,3.24,2.64
rater_18,motivational_usefulness,1.16,2.52,3.0,4.36
rater_18,relevance,1.08,2.36,2.8,4.8
rater_18,sdt_alignment,1.08,2.24,2.68,4.32
rater_18,specificity,1.04,2.12,2.56,4.96
rater_19,motivational_usefulness,3.0,3.04,3.04,2.72
rater_19,relevance,2.88,3.08,3.12,3.16
rater_19,sdt_alignment,2.8,2.92,2.84,3.2
rater_19,specificity,3.16,2.92,3.2,2.84
rater_20,motivational_usefulness,2.72,2.96,2.96,3.16
rater_20,relevance,2.88,2.84,2.52,2.88
rater_20,sdt_alignment,2.92,3.0,3.28,3.12
rater_20,specificity,2.92,2.96,2.92,3.28
rater_21,motivational_usefulness,3.24,2.84,2.88,2.96
rater_21,relevance,3.04,2.6,2.88,2.96
rater_21,sdt_alignment,3.12,3.2,2.6,3.4
rater_21,specificity,3.12,3.0,3.0,2.76
