rater,vignette,level,dimension,score
rater_01,v002,emotion_only,relevance,3.0
rater_01,v002,emotion_only,specificity,2.0
rater_01,v002,emotion_only,sdt_alignment,2.0
rater_01,v002,emotion_only,motivational_usefulness,2.0
rater_01,v002,generic,relevance,2.0
rater_01,v002,generic,specificity,2.0
rater_01,v002,generic,sdt_alignment,2.0
rater_01,v002,generic,motivational_usefulness,2.0
rater_01,v002,need_only,relevance,4.0
rater_01,v002,need_only,specificity,3.0
rater_01,v002,need_only,sdt_alignment,4.0
rater_01,v002,need_only,motivational_usefulness,4.0
rater_01,v002,full_context,relevance,5.0
rater_01,v002,full_context,specificity,5.0
rater_01,v002,full_context,sdt_alignment,4.0
rater_01,v002,full_context,motivational_usefulness,4.0
rater_01,v044,full_context,relevance,5.0
rater_01,v044,full_context,specificity,5.0
rater_01,v044,full_context,sdt_alignment,4.0
rater_01,v044,full_context,motivational_usefulness,5.0
rater_01,v044,need_only,relevance,3.0
rater_01,v044,need_only,specificity,3.0
rater_01,v044,need_only,sdt_alignment,3.0
rater_01,v044,need_only,motivational_usefulness,2.0
rater_01,v044,generic,relevance,1.0
rater_01,v044,generic,specificity,1.0
rater_01,v044,generic,sdt_alignment,1.0
rater_01,v044,generic,motivational_usefulness,1.0
rater_01,v044,emotion_only,relevance,2.0
rater_01,v044,emotion_only,specificity,1.0
rater_01,v044,emotion_only,sdt_alignment,2.0
rater_01,v044,emotion_only,motivational_usefulness,2.0
rater_01,v003,emotion_only,relevance,3.0
rater_01,v003,emotion_only,specificity,2.0
rater_01,v003,emotion_only,sdt_alignment,2.0
rater_01,v003,emotion_only,motivational_usefulness,3.0
rater_01,v003,need_only,relevance,3.0
rater_01,v003,need_only,specificity,3.0
rater_01,v003,need_only,sdt_alignment,3.0
rater_01,v003,need_only,motivational_usefulness,3.0
rater_01,v003,generic,relevance,1.0
rater_01,v003,generic,specificity,1.0
rater_01,v003,generic,sdt_alignment,1.0
rater_01,v003,generic,motivational_usefulness,1.0
rater_01,v003,full_context,relevance,5.0
rater_01,v003,full_context,specificity,5.0
rater_01,v003,full_context,sdt_alignment,4.0
rater_01,v003,full_context,motivational_usefulness,4.0
rater_01,v041,full_context,relevance,5.0
rater_01,v041,full_context,specificity,5.0
rater_01,v041,full_context,sdt_alignment,4.0
rater_01,v041,full_context,motivational_usefulness,5.0
rater_01,v041,generic,relevance,1.0
rater_01,v041,generic,specificity,1.0
rater_01,v041,generic,sdt_alignment,1.0
rater_01,v041,generic,motivational_usefulness,1.0
rater_01,v041,emotion_only,relevance,3.0
rater_01,v041,emotion_only,specificity,3.0
rater_01,v041,emotion_only,sdt_alignment,3.0
rater_01,v041,emotion_only,motivational_usefulness,4.0
rater_01,v041,need_only,relevance,4.0
rater_01,v041,need_only,specificity,3.0
rater_01,v041,need_only,sdt_alignment,3.0
rater_01,v041,need_only,motivational_usefulness,4.0
rater_01,v001,emotion_only,relevance,4.0
rater_01,v001,emotion_only,specificity,3.0
rater_01,v001,emotion_only,sdt_alignment,3.0
rater_01,v001,emotion_only,motivational_usefulness,4.0
rater_01,v001,full_context,relevance,5.0
rater_01,v001,full_context,specificity,5.0
rater_01,v001,full_context,sdt_alignment,4.0
rater_01,v001,full_context,motivational_usefulness,4.0
rater_01,v001,generic,relevance,1.0
rater_01,v001,generic,specificity,1.0
rater_01,v001,generic,sdt_alignment,1.0
rater_01,v001,generic,motivational_usefulness,1.0
rater_01,v001,need_only,relevance,3.0
rater_01,v001,need_only,specificity,3.0
rater_01,v001,need_only,sdt_alignment,3.0
rater_01,v001,need_only,motivational_usefulness,3.0
rater_01,v053,need_only,relevance,2.0
rater_01,v053,need_only,specificity,1.0
rater_01,v053,need_only,sdt_alignment,2.0
rater_01,v053,need_only,motivational_usefulness,2.0
rater_01,v053,emotion_only,relevance,1.0
rater_01,v053,emotion_only,specificity,2.0
rater_01,v053,emotion_only,sdt_alignment,2.0
rater_01,v053,emotion_only,motivational_usefulness,2.0
rater_01,v053,generic,relevance,1.0
rater_01,v053,generic,specificity,1.0
rater_01,v053,generic,sdt_alignment,1.0
rater_01,v053,generic,motivational_usefulness,1.0
rater_01,v053,full_context,relevance,5.0
rater_01,v053,full_context,specificity,5.0
rater_01,v053,full_context,sdt_alignment,3.0
rater_01,v053,full_context,motivational_usefulness,4.0
rater_01,v014,need_only,relevance,3.0
rater_01,v014,need_only,specificity,3.0
rater_01,v014,need_only,sdt_alignment,3.0
rater_01,v014,need_only,motivational_usefulness,3.0
rater_01,v014,full_context,relevance,5.0
rater_01,v014,full_context,specificity,5.0
rater_01,v014,full_context,sdt_alignment,3.0
rater_01,v014,full_context,motivational_usefulness,3.0
rater_01,v014,generic,relevance,1.0
rater_01,v014,generic,specificity,1.0
rater_01,v014,generic,sdt_alignment,1.0
rater_01,v014,generic,motivational_usefulness,1.0
rater_01,v014,emotion_only,relevance,2.0
rater_01,v014,emotion_only,specificity,2.0
rater_01,v014,emotion_only,sdt_alignment,2.0
