id,vignette_text,message_a,relevance_a_1_5,specificity_a_1_5,sdt_alignment_a_1_5,motivational_usefulness_a_1_5,message_b,relevance_b_1_5,specificity_b_1_5,sdt_alignment_b_1_5,motivational_usefulness_b_1_5,message_c,relevance_c_1_5,specificity_c_1_5,sdt_alignment_c_1_5,motivational_usefulness_c_1_5,message_d,relevance_d_1_5,specificity_d_1_5,sdt_alignment_d_1_5,motivational_usefulness_d_1_5
v002,"I was assigned three additional committees without being consulted, on top of an already full teaching load.",It's understandable to feel angry about this.,4,3,2,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",5,2,4,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,4,2,3,2,Your voice matters in decisions that shape your work. Being handed three committees without even a conversation dismisses your time and expertise. You deserve a seat at that table—and it's completely reasonable to advocate clearly for boundaries that protect your capacity to do your best work.,5,1,4,1
v044,I am required to attend a full day of mandatory training that covers material I already teach myself.,Your expertise in this very material speaks for itself. Being asked to sit through what you already teach can feel deeply dismissive of everything you've built. That knowledge doesn't disappear in a training room — your colleagues and students still depend on the person who *created* this understanding.,2,3,3,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,4,5,3,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,3,1,It's understandable to feel angry about this.,3,3,2,3
v003,The new digital platform was forced on us with no training and no choice in the matter.,It's understandable to feel angry about this.,4,1,4,2,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,3,3,3,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,3,2,3,"""Being handed a new platform without training or any say in the matter is genuinely frustrating. Your expertise deserves respect, not imposed change. Advocating for proper support isn't just reasonable—it's necessary, and your voice in shaping how this rolls out still matters.""",2,4,3,3
v041,I was never consulted before my course was moved to a time slot that conflicts with my research commitments.,"""Having your schedule changed without any input—especially when it directly affects your research—is genuinely frustrating. Your time and expertise deserve to be part of that conversation. You have every right to advocate for a solution that honors both your teaching and your scholarly work.""",2,2,2,5,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,5,2,3,That sounds like a genuinely frustrating situation to be in.,3,4,5,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,5,2,3,3
v001,"Administration keeps changing the syllabus requirements after I have already finalized my course, and nobody asks for my input.",That sounds like a genuinely frustrating situation to be in.,3,2,2,2,"""Having your finalized course reshaped without anyone asking your perspective is genuinely frustrating. Your expertise in designing that curriculum matters, and advocating for a seat at the table when these decisions are made is both reasonable and worth pursuing.""",3,4,1,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,2,2,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,2,3,4,3
v053,It is unsettling how quickly a misconduct complaint disappeared once the accused brought in a large research grant.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,4,3,3,4,That sounds like a really unpleasant situation to deal with.,4,2,2,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",1,4,3,3,"Your integrity in noticing that the complaint's swift resolution coincided with the grant arriving matters deeply. That moral clarity — even when institutions stumble — is precisely what keeps academic culture honest. Your voice and your standards still count, genuinely.",3,3,3,4
v014,The way some senior staff take credit for their PhD students' work is appalling.,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,2,1,4,2,"""The work your PhD students produce—and your role in guiding it—has real value that no one can quietly claim as their own. Those students know who truly supported them, and that integrity you're modeling for them matters deeply.""",3,1,1,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,3,3,2,That sounds like a really unpleasant situation to deal with.,4,1,5,4
v049,Watching a colleague pressure their graduate students to work unpaid weekends under the threat of bad references is hard to ignore.,"""Witnessing a colleague exploit their power over students — using threats of bad references to demand unpaid weekends — takes a real toll on you. Your instinct to *not* ignore it matters. That moral clarity is worth protecting, and so are those students.""",3,2,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,2,2,5,That sounds like a genuinely frustrating situation to be in.,4,2,3,1,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,2,3,4,4
v048,It bothers me that some colleagues pad their CVs with conference talks they never actually gave.,"""Your commitment to honest, accurate representation of your work genuinely matters. In a field built on trust and integrity, colleagues who fabricate conference contributions undermine everyone — but your own authentic record speaks clearly and credibly for itself.""",3,1,3,5,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,3,4,1,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,4,3,3,That sounds like a genuinely frustrating situation to be in.,3,4,3,3
v011,Some students openly use AI to write entire essays and still get full marks because nobody checks.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",1,2,2,2,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,5,4,3,3,It's understandable to feel angry about this.,2,3,3,2,"""When students submit AI-written work unchallenged, your commitment to genuine learning feels utterly undermined. Your standards matter — consider documenting specific cases and raising this formally. One persistent voice advocating for real academic integrity policies can genuinely shift what gets checked and enforced.""",2,3,2,3
v023,Reviewer two's comments on my last submission were so harsh that I am scared to submit anywhere again.,"""One harsh reviewer does not define your scholarship. Remember, even groundbreaking work faces rejection—reviewer two's tone says more about them than your research. Your ideas deserve to be heard. Take a breath, and let's get that work submitted again.""",1,3,5,3,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",3,4,2,3,It's natural to feel anxious in a situation like this.,5,5,1,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,3,3,3
v019,I worry I will be replaced by an AI tool that can grade and lecture faster than I ever could.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,3,4,2,It's natural to feel anxious in a situation like this.,4,4,3,2,"Feeling uncertain before a high-stakes moment is common, even for very experienced people. What is one thing you already know you do well here?",3,3,4,2,"""Your ability to mentor, inspire curiosity, and truly *know* your students is something no grading algorithm can replicate. The irreplaceable part of teaching has always been the human connection you bring to the classroom — that's your enduring professional strength.""",2,4,4,3
v017,I am terrified that my upcoming tenure review will focus only on numbers and ignore years of mentoring work.,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",4,4,2,2,It's natural to feel anxious in a situation like this.,4,2,4,2,"Your years of mentoring have genuinely shaped students' lives — that impact is real and lasting, even when metrics can't fully capture it. Consider documenting specific student outcomes and testimonials now, so your review tells the *complete* story of your contributions.",3,2,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,5,2,4
v021,I am anxious that one bad semester of reviews could end my contract renewal.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,5,4,Your dedication to your students clearly runs deep — one semester's reviews can't erase the expertise and care you bring to your work each day. Keep investing in what you do best; that consistent effort is what truly defines your teaching over time.,3,1,4,2,"Feeling uncertain before a high-stakes moment is common, even for very experienced people. What is one thing you already know you do well here?",3,4,3,3,That sounds like a genuinely worrying thing to be dealing with.,0,5,2,1
v022,I dread the annual performance meeting because I never know which numbers they will judge me by this time.,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",3,4,3,3,That sounds like a genuinely worrying thing to be dealing with.,2,4,3,5,"""Not knowing which metrics will matter this year makes it nearly impossible to prepare or show your best work. Your contributions are real and consistent — one shifting set of numbers doesn't define the full picture of what you bring to your students and field.""",3,3,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",1,4,3,2
v068,I sometimes wonder if anyone would notice if I stopped showing up to non-mandatory department events.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,3,5,1,"It sounds like that's been a difficult, disheartening experience.",4,3,4,4,"""Your presence at those gatherings matters more than you might realize — colleagues often notice and value familiar faces without always saying so. Showing up, even occasionally, can quietly build the connections that make your work feel less like going it alone.""",3,4,4,3,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",3,3,4,2
v066,"I quietly stepped down from chairing the committee I built over ten years, and there was no acknowledgment at all.",That sounds like a genuinely sad situation to be in.,2,2,2,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",1,3,2,4,"It sounds like this has felt isolating. Is there one colleague you could reach out to this week, even briefly?",2,3,3,2,"""Ten years of building something meaningful deserves acknowledgment — that silence must sting. The committee exists because of your dedication, and that foundation you created continues to matter, even when no one said thank you. Your contribution was real.""",3,3,3,2
v025,Nobody on the faculty has asked how I am doing since I came back from sick leave.,"It sounds like that's been a difficult, disheartening experience.",3,5,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",1,6,3,3,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",2,4,5,3,"""Returning from sick leave and being met with silence from colleagues is genuinely hard — you deserved a warm welcome back. Your presence on that faculty matters, and I hope someone reaches out soon. You don't have to navigate this stretch alone.""",5,2,4,2
v030,"After my student's thesis won an award, the department announcement did not even mention my name as the supervisor.","Your guidance shaped that award-winning thesis, and no announcement can erase that truth. Your student's success carries your fingerprints throughout — the questions you pushed them to ask, the standards you held them to. That mentorship legacy belongs to you completely.",2,1,4,2,"It sounds like that's been a difficult, disheartening experience.",3,2,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,2,0,3,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",5,2,4,2
v028,My mentor retired and I do not think anyone else here really knows what I am working on.,"It sounds like that's been a difficult, disheartening experience.",3,2,2,3,"Your mentor's retirement leaves a real gap — that kind of deep, knowledgeable connection is genuinely hard to replace. But the work you're doing still matters, and finding even one colleague to share it with could open doors you haven't yet imagined.",3,3,2,2,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",2,2,4,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,3,3
