id,vignette_text,message_a,relevance_a_1_5,specificity_a_1_5,sdt_alignment_a_1_5,motivational_usefulness_a_1_5,message_b,relevance_b_1_5,specificity_b_1_5,sdt_alignment_b_1_5,motivational_usefulness_b_1_5,message_c,relevance_c_1_5,specificity_c_1_5,sdt_alignment_c_1_5,motivational_usefulness_c_1_5,message_d,relevance_d_1_5,specificity_d_1_5,sdt_alignment_d_1_5,motivational_usefulness_d_1_5
v002,"I was assigned three additional committees without being consulted, on top of an already full teaching load.",It's understandable to feel angry about this.,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,,"""Having three committees added to an already full teaching load—without even being asked—is genuinely a lot to carry. Your time and voice matter here. It's okay to advocate for boundaries; doing so isn't selfish, it's sustainable.""",,,,
v044,I am required to attend a full day of mandatory training that covers material I already teach myself.,"Your expertise in this very material speaks volumes about your dedication to the field. Sitting through what you already teach is genuinely frustrating, but perhaps one unexpected idea or connection emerges that finds its way back into *your* classroom. Your knowledge doesn't go unrecognized.",,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It's understandable to feel angry about this.,,,,
v003,The new digital platform was forced on us with no training and no choice in the matter.,It's understandable to feel angry about this.,,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"""Being handed a new platform without any training or say in the matter is genuinely frustrating — your expertise deserves more respect than that. Your voice matters here, and advocating for proper support isn't just reasonable; it's necessary.""",,,,
v041,I was never consulted before my course was moved to a time slot that conflicts with my research commitments.,"Your expertise and research commitments genuinely matter, and having your schedule changed without a conversation disregards that. You deserve to have your voice at the table when decisions affect your work. It's entirely reasonable to advocate for that consultation going forward.",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,That sounds like a genuinely frustrating situation to be in.,,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,
v001,"Administration keeps changing the syllabus requirements after I have already finalized my course, and nobody asks for my input.",That sounds like a genuinely frustrating situation to be in.,,,,,"""Having your finalized course altered without any input asked for is genuinely frustrating. Your expertise and preparation deserve a seat at that table. Consider requesting a formal channel for faculty feedback on syllabus changes — your voice matters in shaping these decisions.""",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,
v053,It is unsettling how quickly a misconduct complaint disappeared once the accused brought in a large research grant.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,,That sounds like a really unpleasant situation to deal with.,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,"Your integrity in noticing that the complaint's swift disappearance followed the grant funding matters deeply. Even when institutional decisions feel compromised by money, your commitment to holding those standards keeps the foundation of genuine academic trust alive. That courage is not small.",,,,
v014,The way some senior staff take credit for their PhD students' work is appalling.,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,,,,,"""The work your students produce—and the mentorship that shapes it—doesn't go unnoticed by those who truly understand research. The scholarly community sees contributions more clearly than a title page suggests. Keep championing your students; that integrity speaks loudly.""",,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,That sounds like a really unpleasant situation to deal with.,,,,
v049,Watching a colleague pressure their graduate students to work unpaid weekends under the threat of bad references is hard to ignore.,Your instinct to speak up when you see colleagues exploiting students' vulnerability over references shows real integrity. That discomfort you feel? It matters. You have standing to advocate for those students — your voice in this environment carries genuine weight.,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,That sounds like a genuinely frustrating situation to be in.,,,,,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,,,,
v048,It bothers me that some colleagues pad their CVs with conference talks they never actually gave.,"Your integrity in building an honest record of your work is genuinely valuable—it matters more than it may feel right now. The talks you *actually* gave, the real contributions you made, carry weight that padded entries simply never can.",,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,That sounds like a genuinely frustrating situation to be in.,,,,
v011,Some students openly use AI to write entire essays and still get full marks because nobody checks.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",,,,,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,,,,,It's understandable to feel angry about this.,,,,,"""The integrity you bring to education genuinely matters, even when the systems around you don't yet reflect that. The fact that you notice and care about who actually *earns* full marks shows exactly the kind of standard worth fighting to protect.""",,,,
